Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
14.0,3.0,13.8105,19.0,188.34175
14.0,4.0,12.8435,36.0,176.98725
14.0,5.0,9.3559,4.0,126.70465
14.0,6.0,11.772,24.0,161.322
14.0,7.0,8.83,46.0,123.80499999999999
14.0,8.0,11.479299999999999,28.0,157.77055
14.0,9.0,13.6811,-7.0,183.99485
14.0,10.0,15.2714,-7.0,205.46390000000002
14.0,11.0,2.1862,8.0,30.3137
14.0,12.0,2.485,5.0,34.0475
14.0,13.0,2.662,8.0,36.736999999999995
14.0,15.0,16.2357,16.0,220.78195000000002
14.0,16.0,15.5107,17.0,211.09445
14.0,17.0,6.2597,-6.0,83.90595
14.0,18.0,7.5424,-6.0,101.22240000000001
14.0,19.0,14.782200000000001,10.0,200.55970000000002
14.0,20.0,14.373299999999999,41.0,198.13954999999999
14.0,21.0,13.1074,-7.0,176.24990000000003
14.0,22.0,16.462400000000002,-9.0,221.34240000000003
14.0,23.0,17.3405,30.0,237.09675
